9061,10095327984
9190,18651057432
9297,27227357589
9339,35700579170
9353,44146767422
9405,52874052798
9331,61712355101
9428,70697666529
9404,79357714636
9426,88504407817
9422,99379347102
9447,108025864667
9399,116972658966
9451,126617466270
9453,135585141969
9444,145131009375
9464,158087057960
9470,171971830810
9464,182977905962
9477,191916332508
9444,200563325944
9458,209310286727
9445,217947873766
9480,226585683369
9490,235239829896
9466,244825427711
9484,253478625806
9493,262139241688
9485,270801204889
9467,279405794932
